playerID,yearID,stint,teamID,lgID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,nameGiven,masterID
dysonja01,2015,1,KCA,AL,90,200,31,50,8,6,2,18,26,3,14,37,0,4,6,1,3,Jarrod Martel,dysonja01-2015-KCA
eatonad02,2015,1,CHA,AL,153,610,98,175,28,9,14,56,18,8,58,131,2,14,5,2,5,Adam Cory,eatonad02-2015-CHA
ellisaj01,2015,1,LAN,NL,63,181,24,43,9,0,7,21,0,0,32,38,1,1,3,0,4,Andrew James,ellisaj01-2015-LAN
ellsbja01,2015,1,NYA,AL,111,452,66,116,15,2,7,33,21,9,35,86,1,7,1,3,6,Jacoby McCabe,ellsbja01-2015-NYA
elmorja01,2015,1,TBA,AL,51,141,10,29,5,0,2,16,1,1,12,25,1,0,2,3,6,Jacob David,elmorja01-2015-TBA
encared01,2015,1,TOR,AL,146,528,94,146,31,0,39,111,3,2,77,98,5,9,0,10,14,Edwin Elpidio,encared01-2015-TOR
escobal02,2015,1,KCA,AL,148,612,76,157,20,5,3,47,17,5,26,75,1,8,11,5,10,Alcides,escobal02-2015-KCA
escobed01,2015,1,MIN,AL,127,409,48,107,31,4,12,58,2,3,28,86,1,2,2,5,7,Eduardo Jose,escobed01-2015-MIN
escobyu01,2015,1,WAS,NL,139,535,75,168,25,1,9,56,2,2,45,70,0,8,1,2,24,Yunel,escobyu01-2015-WAS
espinda01,2015,1,WAS,NL,118,367,59,88,21,1,13,37,5,2,33,106,5,6,3,3,6,Daniel Richard,espinda01-2015-WAS
ethiean01,2015,1,LAN,NL,142,395,54,116,20,7,14,53,2,3,43,75,2,4,0,3,11,Andre Everett,ethiean01-2015-LAN
feathta01,2015,1,LAA,AL,101,154,23,25,5,1,2,9,4,2,7,46,0,3,4,1,3,Taylor Joseph,feathta01-2015-LAA
fieldpr01,2015,1,TEX,AL,158,613,78,187,28,0,23,98,0,0,64,88,14,11,0,5,21,Prince Semien,fieldpr01-2015-TEX
flahery01,2015,1,BAL,AL,91,267,34,54,8,3,9,31,0,0,26,81,2,4,2,2,8,Ryan Edward,flahery01-2015-BAL
florewi01,2015,1,NYN,NL,137,483,55,127,22,0,16,59,0,1,19,63,2,4,2,2,12,Wilmer Alejandro,florewi01-2015-NYN
flowety01,2015,1,CHA,AL,112,331,21,79,12,0,9,39,0,1,21,104,0,6,2,1,8,Cole Tyler,flowety01-2015-CHA
forsylo01,2015,1,TBA,AL,153,540,69,152,33,2,17,68,9,4,55,111,2,14,0,6,12,John Logan,forsylo01-2015-TBA
fowlede01,2015,1,CHN,NL,156,596,102,149,29,8,17,46,20,7,84,154,1,5,2,3,4,William Dexter,fowlede01-2015-CHN
francje02,2015,1,PHI,NL,119,326,34,84,16,1,13,45,0,2,13,77,0,1,0,3,10,Jeffrey Braden,francje02-2015-PHI
francma02,2015,1,PHI,NL,80,304,45,85,22,1,14,50,1,0,26,52,2,4,0,1,8,Maikel Antonio,francma02-2015-PHI
frankni01,2015,1,TBA,AL,44,101,11,16,4,1,3,7,1,0,7,37,0,0,1,0,2,Nicholas Edward,frankni01-2015-TBA
frazito01,2015,1,CIN,NL,157,619,82,158,43,1,35,89,13,8,44,137,3,7,1,7,19,Todd B.,frazito01-2015-CIN
freemfr01,2015,1,ATL,NL,118,416,62,115,27,0,18,66,3,1,56,98,4,7,0,2,6,Frederick Charles,freemfr01-2015-ATL
freesda01,2015,1,LAA,AL,121,424,53,109,27,0,14,56,1,1,31,107,0,12,0,3,12,David Richard,freesda01-2015-LAA
fuldsa01,2015,1,OAK,AL,120,290,34,57,16,3,2,22,9,3,30,55,1,2,2,1,6,Samuel Babson,fuldsa01-2015-OAK
gallojo01,2015,1,TEX,AL,36,108,16,22,3,1,6,14,3,0,15,57,3,0,0,0,0,Joseph Nicholas,gallojo01-2015-TEX
galvifr01,2015,1,PHI,NL,151,559,63,147,14,5,7,50,10,1,30,103,1,3,7,4,11,Freddy Jose,galvifr01-2015-PHI
garciad01,2015,1,ATL,NL,58,191,20,53,12,0,10,26,0,0,5,35,0,0,0,2,9,Adonis,garciad01-2015-ATL
garciav01,2015,1,CHA,AL,148,553,66,142,17,2,13,59,7,7,36,141,3,8,0,4,13,Avisail Antonio,garciav01-2015-CHA
garcigr01,2015,1,SLN,NL,49,75,7,18,5,0,2,4,0,0,10,12,1,1,1,0,2,Greg Joseph,garcigr01-2015-SLN
gardnbr01,2015,1,NYA,AL,151,571,94,148,26,3,16,66,20,5,68,135,1,6,8,3,8,Brett M.,gardnbr01-2015-NYA
garnedu01,2015,1,COL,NL,22,70,6,11,3,0,2,8,0,0,6,14,2,0,0,0,2,Dustin Thomas,garnedu01-2015-COL
gattiev01,2015,1,HOU,AL,153,566,66,139,20,11,27,88,0,1,30,119,3,3,0,5,13,James Evan,gattiev01-2015-HOU
gennesc01,2015,1,MIL,NL,114,375,42,99,18,4,6,29,1,3,12,68,5,4,0,0,11,Ryan Joseph,gennesc01-2015-MIL
gentrcr01,2015,1,OAK,AL,26,50,6,6,0,2,0,3,1,1,4,15,0,1,0,1,0,Craig Alan,gentrcr01-2015-OAK
giavojo01,2015,1,LAA,AL,129,453,51,123,25,5,4,49,2,1,32,59,0,2,9,6,7,Johnny Arthur,giavojo01-2015-LAA
gillaco01,2015,1,CHA,AL,58,173,10,41,11,1,3,15,0,1,9,34,1,1,0,2,2,Conor Michael,gillaco01-2015-CHA
gillaco01,2015,2,LAA,AL,17,64,4,13,4,1,1,9,0,0,4,13,1,0,0,0,0,Conor Michael,gillaco01-2015-LAA
gilleco01,2015,1,MIA,NL,67,145,17,42,10,2,2,16,4,1,10,27,0,0,1,1,5,Cole Braden,gilleco01-2015-MIA
gimench01,2015,1,TEX,AL,36,98,19,25,6,1,5,14,2,0,10,19,0,1,4,0,2,Christopher Paul,gimench01-2015-TEX
goinsry01,2015,1,TOR,AL,128,376,52,94,16,4,5,45,2,1,39,83,0,1,7,5,12,Ryan Matthew,goinsry01-2015-TOR
goldspa01,2015,1,ARI,NL,159,567,103,182,38,2,33,110,21,5,118,151,29,2,0,7,16,Paul Edward,goldspa01-2015-ARI
gomesjo01,2015,1,ATL,NL,83,195,27,43,7,0,7,22,1,1,28,67,1,3,0,2,5,Jonathan Johnson,gomesjo01-2015-ATL
gomesya01,2015,1,CLE,AL,95,363,38,84,22,0,12,45,0,0,13,104,1,7,0,6,11,Yan,gomesya01-2015-CLE
gomezca01,2015,1,MIL,NL,74,286,42,75,20,1,8,43,7,6,23,70,0,5,0,0,4,Carlos Argelis,gomezca01-2015-MIL
gomezca01,2015,2,HOU,AL,41,149,19,36,9,0,4,13,10,3,8,31,1,2,3,1,1,Carlos Argelis,gomezca01-2015-HOU
gomezhe01,2015,1,MIL,NL,66,127,15,23,11,2,1,7,0,0,3,40,0,2,2,0,1,Hector Alexis,gomezhe01-2015-MIL
gonzaad01,2015,1,LAN,NL,156,571,76,157,33,0,28,90,0,1,62,107,10,6,0,3,21,Adrian Sabin,gonzaad01-2015-LAN
gonzaca01,2015,1,COL,NL,153,554,87,150,25,2,40,97,2,0,46,133,6,1,1,6,11,Carlos Eduardo,gonzaca01-2015-COL
gonzama01,2015,1,HOU,AL,120,344,44,96,18,1,12,34,4,5,16,74,0,3,7,0,9,Marwin Javier,gonzama01-2015-HOU
gordoal01,2015,1,KCA,AL,104,354,40,96,18,0,13,48,2,5,49,92,7,14,0,5,2,Alex Jonathan,gordoal01-2015-KCA
gordode01,2015,1,MIA,NL,145,615,88,205,24,8,4,46,58,20,25,91,2,2,6,5,6,Devaris,gordode01-2015-MIA
gosean01,2015,1,DET,AL,140,485,73,123,24,8,5,26,23,11,45,145,0,3,2,0,11,Anthony Robert,gosean01-2015-DET
gosewtu01,2015,1,ARI,NL,38,128,9,27,6,0,1,13,2,1,8,23,0,1,0,1,2,James Benjamin,gosewtu01-2015-ARI
gosseph01,2015,2,ARI,NL,24,66,17,20,5,1,3,13,0,1,7,11,0,2,0,1,2,Philip David,gosseph01-2015-ARI
grandcu01,2015,1,NYN,NL,157,580,98,150,33,2,26,70,11,6,91,151,3,7,0,4,3,Curtis,grandcu01-2015-NYN
grandya01,2015,1,LAN,NL,115,355,43,83,12,0,16,47,0,1,65,92,1,2,1,3,16,Yasmani,grandya01-2015-LAN
gregodi01,2015,1,NYA,AL,155,525,57,139,24,2,9,56,5,3,33,85,0,11,3,6,4,Mariekson Julius,gregodi01-2015-NYA
greinza01,2015,1,LAN,NL,32,67,8,15,2,0,2,3,1,0,1,14,0,0,8,1,0,Donald Zachary,greinza01-2015-LAN
grichra01,2015,1,SLN,NL,103,323,49,89,23,7,17,47,4,2,22,110,2,4,0,1,6,Randal Alexander,grichra01-2015-SLN
guerral01,2015,1,LAN,NL,106,219,25,51,9,1,11,36,1,0,7,57,0,2,0,2,7,Alexander,guerral01-2015-LAN
gutiefr01,2015,1,SEA,AL,59,171,27,50,11,0,15,35,0,0,14,54,1,3,0,1,5,Franklin Rafael,gutiefr01-2015-SEA
guyerbr01,2015,1,TBA,AL,128,332,51,88,21,2,8,28,10,4,25,61,0,24,3,1,5,Brandon Eric,guyerbr01-2015-TBA
gyorkje01,2015,1,SDN,NL,128,421,34,104,15,0,16,57,0,1,27,107,1,5,0,5,13,Jedd Lindon,gyorkje01-2015-SDN
hamilbi02,2015,1,CIN,NL,114,412,56,93,8,3,4,28,57,8,28,75,0,1,9,4,5,Billy R.,hamilbi02-2015-CIN
hamiljo03,2015,1,TEX,AL,50,170,22,43,8,0,8,25,0,0,10,52,0,0,0,2,1,Joshua Holt,hamiljo03-2015-TEX
hammeja01,2015,1,CHN,NL,32,65,6,11,1,0,0,4,0,0,1,18,0,0,3,1,1,Jason Aaron,hammeja01-2015-CHN
hanigry01,2015,1,BOS,AL,54,174,28,43,8,0,2,16,0,0,20,39,0,4,1,1,6,Ryan Michael,hanigry01-2015-BOS
hardyjj01,2015,1,BAL,AL,114,411,45,90,14,0,8,37,0,0,20,88,0,0,2,4,11,James Jerry,hardyjj01-2015-BAL
harpebr03,2015,1,WAS,NL,153,521,118,172,38,1,42,99,6,4,124,131,15,5,0,4,15,Bryce Aron Max,harpebr03-2015-WAS
harrijo05,2015,1,PIT,NL,114,418,57,120,29,1,4,28,10,8,19,71,1,7,3,2,4,Joshua Isaiah,harrijo05-2015-PIT
hartco01,2015,1,PIT,NL,35,54,3,12,1,0,2,9,0,0,1,19,1,1,0,1,5,Jon Corey,hartco01-2015-PIT
harvema01,2015,1,NYN,NL,29,65,1,7,2,0,1,7,0,0,0,31,0,0,1,0,2,Matthew Edward,harvema01-2015-NYN
headlch01,2015,1,NYA,AL,156,580,74,150,29,1,11,62,0,2,51,135,0,7,0,4,17,Chase Jordan,headlch01-2015-NYA
hechaad01,2015,1,MIA,NL,130,470,54,132,17,6,5,48,7,2,23,78,4,2,0,4,18,Adeiny,hechaad01-2015-MIA
hedgeau01,2015,1,SDN,NL,56,137,13,23,2,0,3,11,0,0,8,38,1,1,3,3,1,Austin Charles,hedgeau01-2015-SDN
heisech01,2015,1,LAN,NL,33,55,8,10,2,0,2,9,0,1,15,17,2,0,0,2,1,Chris J.,heisech01-2015-LAN
hendrky01,2015,1,CHN,NL,32,60,2,3,1,0,0,1,0,0,1,24,0,0,3,0,2,Kyle Christian,hendrky01-2015-CHN
hernace02,2015,1,PHI,NL,127,405,57,110,20,4,1,35,19,5,40,86,1,2,4,1,6,Cesar Augusto,hernace02-2015-PHI
hernaen02,2015,1,LAN,NL,76,202,24,62,12,2,7,22,0,2,11,46,0,2,1,2,3,Enrique J.,hernaen02-2015-LAN
herredi01,2015,1,NYN,NL,31,90,7,19,3,1,3,6,2,0,11,23,1,2,0,0,2,Dilson Jose,herredi01-2015-NYN
herreel01,2015,1,MIL,NL,83,256,29,62,18,0,7,33,3,1,18,72,1,0,1,2,4,Elian,herreel01-2015-MIL
herrejo03,2015,1,CHN,NL,73,126,14,29,5,1,2,14,3,0,2,23,1,0,4,0,3,Jonathan Alejandro,herrejo03-2015-CHN
herreod01,2015,1,PHI,NL,147,495,64,147,30,3,8,41,16,8,28,129,0,8,5,1,6,David Odubel,herreod01-2015-PHI
herrmch01,2015,1,MIN,AL,45,103,13,15,5,1,2,10,0,0,7,37,0,2,1,0,1,Christopher Ryan,herrmch01-2015-MIN
hestoch01,2015,1,SFN,NL,31,51,1,10,2,0,0,3,0,0,0,18,0,0,7,0,1,Christopher L.,hestoch01-2015-SFN
heywaja01,2015,1,SLN,NL,154,547,79,160,33,4,13,60,23,3,56,90,4,2,0,3,13,Jason Alias,heywaja01-2015-SLN
hicksaa01,2015,1,MIN,AL,97,352,48,90,11,3,11,33,13,3,34,66,2,2,0,2,6,Aaron Michael,hicksaa01-2015-MIN
hillaa01,2015,1,ARI,NL,116,313,32,72,18,0,6,39,7,2,31,54,0,1,0,8,9,Aaron Walter,hillaa01-2015-ARI
holadbr01,2015,1,DET,AL,24,64,3,18,5,0,2,13,0,0,1,13,0,0,0,0,0,John Bryan,holadbr01-2015-DET
hollima01,2015,1,SLN,NL,73,229,24,64,16,1,4,35,2,1,39,49,5,6,0,3,9,Matthew Thomas,hollima01-2015-SLN
holtbr01,2015,1,BOS,AL,129,454,56,127,27,6,2,45,8,1,46,97,0,3,4,2,7,Brock Wyatt,holtbr01-2015-BOS
hosmeer01,2015,1,KCA,AL,158,599,98,178,33,5,18,93,7,3,61,108,6,3,1,3,16,Eric John,hosmeer01-2015-KCA
howarry01,2015,1,PHI,NL,129,467,53,107,29,1,23,77,0,0,27,138,2,5,0,3,11,Ryan James,howarry01-2015-PHI
hundlni01,2015,1,COL,NL,103,366,45,110,21,5,10,43,5,6,21,76,0,1,0,1,8,Nicholas John,hundlni01-2015-COL
hunteto01,2015,1,MIN,AL,139,521,67,125,22,0,22,81,2,5,35,105,1,6,0,5,14,Torii Kedar,hunteto01-2015-MIN
iannech01,2015,1,LAA,AL,92,272,28,51,10,0,10,34,0,1,41,83,1,1,0,3,11,Christopher Domenic,iannech01-2015-LAA
iglesjo01,2015,1,DET,AL,120,416,44,125,17,3,2,23,11,8,25,44,2,6,4,3,10,Jose Antonio,iglesjo01-2015-DET
inciaen01,2015,1,ARI,NL,132,524,73,159,27,5,6,45,21,10,26,58,0,4,2,5,8,Ender David,inciaen01-2015-ARI
infanom01,2015,1,KCA,AL,124,440,39,97,23,7,2,44,2,2,9,69,0,0,2,4,8,Omar Rafael,infanom01-2015-KCA
ishiktr01,2015,2,PIT,NL,38,58,5,13,3,0,1,8,0,0,8,17,0,0,0,0,2,Travis Takashi,ishiktr01-2015-PIT
jacksau01,2015,1,SEA,AL,107,419,46,114,18,3,8,38,15,9,24,107,0,1,3,1,4,Austin Jarriel,jacksau01-2015-SEA
jacksau01,2015,2,CHN,NL,29,72,10,17,7,0,1,10,2,1,5,19,0,2,0,0,1,Austin Jarriel,jacksau01-2015-CHN
jankotr01,2015,1,SDN,NL,34,90,9,19,2,2,2,12,2,1,4,24,0,0,2,0,1,Travis Paul,jankotr01-2015-SDN
jasojo01,2015,1,TBA,AL,70,185,23,53,17,0,5,22,1,2,28,39,1,1,0,2,5,John Edward,jasojo01-2015-TBA
jayjo02,2015,1,SLN,NL,79,210,25,44,5,1,1,10,0,2,19,36,5,11,3,2,7,Jonathan Henry,jayjo02-2015-SLN
jennide01,2015,1,TBA,AL,28,97,9,26,2,1,1,7,5,3,8,17,0,1,0,2,2,Desmond Delane,jennide01-2015-TBA
johnsch05,2015,1,ATL,NL,56,153,12,36,7,0,2,11,2,1,7,49,0,1,0,1,3,Christopher Dalton,johnsch05-2015-ATL
johnsch05,2015,2,CLE,AL,27,90,6,26,4,0,1,7,0,0,3,25,0,0,0,0,2,Christopher Dalton,johnsch05-2015-CLE
johnske05,2015,1,ATL,NL,62,182,20,50,5,0,9,34,1,1,13,43,1,0,0,1,4,Kelly Andrew,johnske05-2015-ATL
johnske05,2015,2,NYN,NL,49,128,18,32,6,0,5,13,1,0,10,38,1,0,0,0,4,Kelly Andrew,johnske05-2015-NYN
johnsmi04,2015,1,CHA,AL,36,100,10,23,4,0,0,4,3,2,9,30,0,2,2,0,0,Micah Drew,johnsmi04-2015-CHA
jonesad01,2015,1,BAL,AL,137,546,74,147,25,3,27,82,3,1,24,102,3,8,0,3,21,Adam La Marque,jonesad01-2015-BAL
jonesga02,2015,1,NYA,AL,57,144,12,31,4,1,5,17,0,0,8,37,0,0,0,0,1,Garrett Thomas,jonesga02-2015-NYA
josepca01,2015,1,BAL,AL,100,320,38,75,16,1,11,49,0,0,27,72,2,3,3,1,7,Caleb Martin,josepca01-2015-BAL
joycema01,2015,1,LAA,AL,93,247,17,43,12,1,5,21,0,3,30,67,1,4,1,2,5,Matthew Ryan,joycema01-2015-LAA
kangju01,2015,1,PIT,NL,126,421,60,121,24,2,15,58,5,4,28,99,0,17,0,1,10,Jung Ho,kangju01-2015-PIT
